Localité;;"T05M4E5 [°C]";"T05M4E5 [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;20,0
12/08/2022;16:45:00;24,8;61,1
12/08/2022;17:00:00;24,8;61,1
12/08/2022;17:15:00;24,7;60,7
12/08/2022;17:30:00;24,7;61,3
12/08/2022;17:45:00;24,6;61,3
12/08/2022;18:00:00;24,5;61,5
12/08/2022;18:15:00;24,5;61,7
12/08/2022;18:30:00;24,4;62,0
12/08/2022;18:45:00;24,3;62,5
12/08/2022;19:00:00;24,4;62,7
12/08/2022;19:15:00;24,4;63,0
12/08/2022;19:30:00;24,4;63,2
12/08/2022;19:45:00;24,3;63,6
12/08/2022;20:00:00;24,4;63,9
12/08/2022;20:15:00;24,3;64,1
12/08/2022;20:30:00;24,3;64,1
12/08/2022;20:45:00;24,2;64,1
12/08/2022;21:00:00;24,2;64,3
12/08/2022;21:15:00;24,2;64,7
12/08/2022;21:30:00;24,1;65,2
12/08/2022;21:45:00;24,2;65,6
12/08/2022;22:00:00;24,0;66,6
12/08/2022;22:15:00;23,9;67,1
12/08/2022;22:30:00;23,8;66,9
12/08/2022;22:45:00;23,8;67,1
12/08/2022;23:00:00;23,6;67,8
12/08/2022;23:15:00;23,5;68,2
12/08/2022;23:30:00;23,4;68,6
12/08/2022;23:45:00;23,5;68,5
13/08/2022;00:00:00;23,6;67,9
13/08/2022;00:15:00;23,7;67,5
13/08/2022;00:30:00;23,6;67,4
13/08/2022;00:45:00;23,5;67,5
13/08/2022;01:00:00;23,5;68,3
13/08/2022;01:15:00;23,2;69,2
13/08/2022;01:30:00;23,0;69,2
13/08/2022;01:45:00;22,9;69,1
13/08/2022;02:00:00;22,9;69,0
13/08/2022;02:15:00;23,0;68,7
13/08/2022;02:30:00;23,0;68,7
13/08/2022;02:45:00;23,0;68,6
13/08/2022;03:00:00;23,2;67,9
13/08/2022;03:15:00;23,2;68,0
13/08/2022;03:30:00;22,9;68,9
13/08/2022;03:45:00;23,1;68,7
13/08/2022;04:00:00;23,1;68,8
13/08/2022;04:15:00;23,0;68,9
13/08/2022;04:30:00;22,9;69,2
13/08/2022;04:45:00;22,9;68,9
13/08/2022;05:00:00;23,0;68,5
13/08/2022;05:15:00;23,1;68,1
13/08/2022;05:30:00;23,1;68,0
13/08/2022;05:45:00;23,1;68,0
