Localité;;"T18M3PR [°C]";"T18M3PR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
13/08/2022;00:30:00;22,7;58,8
13/08/2022;00:45:00;22,7;58,8
13/08/2022;01:00:00;22,7;58,9
13/08/2022;01:15:00;22,6;58,8
13/08/2022;01:30:00;22,6;58,8
13/08/2022;01:45:00;22,7;58,8
13/08/2022;02:00:00;22,7;58,9
13/08/2022;02:15:00;22,7;59,0
13/08/2022;02:30:00;22,7;59,1
13/08/2022;02:45:00;22,7;59,1
13/08/2022;03:00:00;22,7;59,2
13/08/2022;03:15:00;22,7;59,3
13/08/2022;03:30:00;22,7;59,2
13/08/2022;03:45:00;22,7;59,3
13/08/2022;04:00:00;22,7;59,3
13/08/2022;04:15:00;22,7;59,5
13/08/2022;04:30:00;22,7;59,6
13/08/2022;04:45:00;22,7;59,6
13/08/2022;05:00:00;22,7;59,6
13/08/2022;05:15:00;22,7;59,7
13/08/2022;05:30:00;22,7;59,8
13/08/2022;05:45:00;22,7;59,9
13/08/2022;06:00:00;22,7;59,9
13/08/2022;06:15:00;22,7;59,9
13/08/2022;06:30:00;22,7;59,8
13/08/2022;06:45:00;22,7;59,7
13/08/2022;07:00:00;22,7;59,8
13/08/2022;07:15:00;22,7;59,9
13/08/2022;07:30:00;22,7;60,0
13/08/2022;07:45:00;22,7;59,8
13/08/2022;08:00:00;22,7;59,9
13/08/2022;08:15:00;22,7;60,0
13/08/2022;08:30:00;22,7;60,0
13/08/2022;08:45:00;22,7;60,1
13/08/2022;09:00:00;22,7;60,2
13/08/2022;09:15:00;22,4;56,9
13/08/2022;09:30:00;22,2;55,9
13/08/2022;09:45:00;22,1;55,7
13/08/2022;10:00:00;22,0;54,8
13/08/2022;10:15:00;22,0;53,7
13/08/2022;10:30:00;21,9;52,4
13/08/2022;10:45:00;21,9;53,1
13/08/2022;11:00:00;21,9;53,2
13/08/2022;11:15:00;21,9;54,0
13/08/2022;11:30:00;21,9;53,1
13/08/2022;11:45:00;21,8;52,6
13/08/2022;12:00:00;22,1;54,6
13/08/2022;12:15:00;22,0;54,4
13/08/2022;12:30:00;21,9;53,4
13/08/2022;12:45:00;21,9;53,3
13/08/2022;13:00:00;21,8;52,1
13/08/2022;13:15:00;21,8;51,8
13/08/2022;13:30:00;21,8;51,5
13/08/2022;13:45:00;21,7;51,7
13/08/2022;14:00:00;21,8;51,2
13/08/2022;14:15:00;21,7;50,9
13/08/2022;14:30:00;21,8;52,4
13/08/2022;14:45:00;22,1;53,9
13/08/2022;15:00:00;22,3;54,3
13/08/2022;15:15:00;22,3;54,6
13/08/2022;15:30:00;22,0;52,8
13/08/2022;15:45:00;21,9;52,1
13/08/2022;16:00:00;21,9;52,6
13/08/2022;16:15:00;21,9;51,9
13/08/2022;16:30:00;21,8;51,8
13/08/2022;16:45:00;21,8;51,9
13/08/2022;17:00:00;21,8;51,9
13/08/2022;17:15:00;21,9;52,4
13/08/2022;17:30:00;22,1;53,0
13/08/2022;17:45:00;22,2;53,6
13/08/2022;18:00:00;22,3;54,6
13/08/2022;18:15:00;22,3;55,1
13/08/2022;18:30:00;22,3;54,7
13/08/2022;18:45:00;22,3;54,7
13/08/2022;19:00:00;22,4;54,9
13/08/2022;19:15:00;22,4;55,2
13/08/2022;19:30:00;22,4;55,4
13/08/2022;19:45:00;22,4;55,9
13/08/2022;20:00:00;22,4;55,9
13/08/2022;20:15:00;22,4;56,1
13/08/2022;20:30:00;22,5;56,2
13/08/2022;20:45:00;22,5;56,4
13/08/2022;21:00:00;22,5;56,6
13/08/2022;21:15:00;22,5;56,7
13/08/2022;21:30:00;22,5;56,9
13/08/2022;21:45:00;22,5;57,0
13/08/2022;22:00:00;22,5;57,1
13/08/2022;22:15:00;22,5;57,2
13/08/2022;22:30:00;22,5;57,4
13/08/2022;22:45:00;22,5;57,6
