Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
18/08/2022;23:45:00;24,6;60,1
19/08/2022;00:00:00;24,6;60,2
19/08/2022;00:15:00;24,6;60,3
19/08/2022;00:30:00;24,6;60,4
19/08/2022;00:45:00;24,6;60,6
19/08/2022;01:00:00;24,6;60,6
19/08/2022;01:15:00;24,6;60,7
19/08/2022;01:30:00;24,6;60,8
19/08/2022;01:45:00;24,6;60,9
19/08/2022;02:00:00;24,6;61,0
19/08/2022;02:15:00;24,6;61,1
19/08/2022;02:30:00;24,6;61,2
19/08/2022;02:45:00;24,6;61,3
19/08/2022;03:00:00;24,6;61,3
19/08/2022;03:15:00;24,6;61,4
19/08/2022;03:30:00;24,6;61,5
19/08/2022;03:45:00;24,6;61,6
19/08/2022;04:00:00;24,6;61,7
19/08/2022;04:15:00;24,6;61,8
19/08/2022;04:30:00;24,6;61,9
19/08/2022;04:45:00;24,6;61,9
19/08/2022;05:00:00;24,6;61,9
19/08/2022;05:15:00;24,6;62,0
19/08/2022;05:30:00;24,7;62,1
19/08/2022;05:45:00;24,6;62,2
19/08/2022;06:00:00;24,6;62,3
19/08/2022;06:15:00;24,6;62,3
19/08/2022;06:30:00;24,6;62,4
19/08/2022;06:45:00;24,6;62,4
19/08/2022;07:00:00;24,6;62,5
19/08/2022;07:15:00;24,7;62,5
19/08/2022;07:30:00;24,6;62,7
19/08/2022;07:45:00;24,7;62,7
19/08/2022;08:00:00;24,7;62,7
19/08/2022;08:15:00;24,7;62,8
19/08/2022;08:30:00;24,6;63,1
19/08/2022;08:45:00;24,4;60,2
19/08/2022;09:00:00;24,4;62,7
19/08/2022;09:15:00;24,4;61,1
19/08/2022;09:30:00;24,2;57,9
19/08/2022;09:45:00;24,2;57,6
19/08/2022;10:00:00;24,2;57,5
19/08/2022;10:15:00;24,2;57,2
19/08/2022;10:30:00;24,1;56,6
19/08/2022;10:45:00;24,1;56,9
